Phrase	Cognitive Distortion
You never pay attention.	Overgeneralization
You should never put your trust in someone like this.	Overgeneralization
Nothing ever goes right for me.	Overgeneralization
Everything is always bad.	Overgeneralization
I didn't tell her everything that happened the day before. I tell lies. I can't be trusted.	Overgeneralization
I lied for the first time today, so I'm no longer a trustworthy individual.	Overgeneralization
I completely missed that turn. I'm an awful driver.	Overgeneralization
I ran through two red lights in a row. I always run through every red light!	Overgeneralization
Yesterday, a man was robbed. This city is extremely dangerous.	Overgeneralization
Because I grew up in a bad environment where showing love was rare, I believe that love does not exist.	Overgeneralization
It's just my luck! Birds are constantly pooping on my car!	Overgeneralization
I'm afraid to meet the university group because they, like my classmates, can make fun of my physique.	Overgeneralization
Why is everyone walking so slowly?	Overgeneralization
if someone has seen a noisy and aggressive dog, they may assume that all dogs are equally dangerous and decide to avoid them all.	Overgeneralization
If you go on a date with a guy and find out that he is a bad and rude person, you might overgeneralize and conclude that all guys are equally bad.	Overgeneralization
Other people can't let me down.	Overgeneralization
I will always be stuck at home	Overgeneralization
I will never be able to travel again.	Overgeneralization
A friend does not return your phone call and you assume, He’s intentionally avoiding me	Jumping to Conclusions
I’ll never meet someone to settle down with	Jumping to Conclusions
They all already think I’m dumb. I just know I will make a mistake and ruin this entire project.	Jumping to Conclusions
Aidan has a panic attack at work in front of several coworkers. He assumes that his co-workers think negatively about him because of his anxiety. He believes that he will lose his job if his employer finds out about his condition.	Jumping to Conclusions
James wants to ask someone out on a date but assumes that they will say no. Because of this, he never asks.	Jumping to Conclusions
Remy feels like they are going to fail their math test no matter what they do to prepare. Because they believe that failure is inevitable, they don't study and don't give their full effort during the exam.	Jumping to Conclusions
He's deliberately avoiding me.	Jumping to Conclusions
I'll never find anyone to settle down with.	Jumping to Conclusions
Mike believes Rita has lost interest in him because she does not respond immediately.	Jumping to Conclusions
Jenna observes that her boss did not smile when she greeted him. She's convinced she must have irritated him in some way. She keeps searching her mind for what she did wrong.	Jumping to Conclusions
Because of her irresponsibility, Martha believes she will never be a good mother.	Jumping to Conclusions
Bill thinks blondes are stupid and not worth hiring while interviewing one for a job.	Jumping to Conclusions
Tom texted a friend to say hello, but he did not receive a response. Tom deduced that his friend is upset with him.	Jumping to Conclusions
Abby decided not to pursue a promotion at work, despite her supervisor's encouragement, because she believed that other candidates would be more qualified.	Jumping to Conclusions
Sarah broke up with her boyfriend because she was afraid he was about to break up with her, despite his assurances to the contrary.	Jumping to Conclusions
Nothing ever changes.	Jumping to Conclusions
I'm terrified of flying, and I'm afraid this plane will crash any minute.	Jumping to Conclusions
Because I have a cat phobia, I screamed when I saw a cat, and I was thinking to myself that cats are extremely violent and dangerous.	Jumping to Conclusions
Other people are judging me because they can see how nervous I am.	Jumping to Conclusions
Nobody loves me.	Jumping to Conclusions
Nobodoy cares about me.	Jumping to Conclusions
Nothing can help because I'm irreparably damaged.	Jumping to Conclusions
It's pointless to try psychotherapy homework because it can't possibly help.	Jumping to Conclusions
Because the restaurant appears to be in disrepair, the food must be as well.	Jumping to Conclusions
Because he drives a Ferrari, he must be extremely wealthy.	Jumping to Conclusions
I believe I will fail the exam because I am having difficulty with some of the questions.	Jumping to Conclusions
I assumed that someone disliked me because they didn't seem enthusiastic when I said "good morning."	Jumping to Conclusions
noticing smoke coming from a house window and immediately assuming the house is on fire	Jumping to Conclusions
Assuming that because I didn't get along with one member of a certain social group, I won't get along with anyone else in that group.	Jumping to Conclusions
When a friend does not return your phone call, you assume he is avoiding you on purpose.	Jumping to Conclusions
When a friend doesn't return your calls, you assume they are intentionally avoiding you.	Jumping to Conclusions
I will never find someone to settle down with.	Jumping to Conclusions
They all already thought I was stupid. I just know I'm going to make a mistake and ruin this whole project.	Jumping to Conclusions
Aidan had a panic attack at work in front of some of his coworkers. He assumed that his coworkers were thinking negatively about him because of his anxiety. He believed that he would lose his job if his boss found out about his condition.	Jumping to Conclusions
James wanted to ask someone out but assumed that they would say no. Therefore, he never asked.	Jumping to Conclusions
Remy felt that they would fail their math exam, no matter what they did to prepare. Because they believed that failure was inevitable, they did not study and did not give their full effort during the exam.	Jumping to Conclusions
He deliberately avoided me.	Jumping to Conclusions
Mike believed Rita had lost interest in him because she didn't respond immediately.	Jumping to Conclusions
Jenna observed that her boss did not smile when she greeted him. She was convinced that she must have upset him. She kept looking around for what she had done wrong.	Jumping to Conclusions
Being irresponsible, Martha believed that she would never be a good mother.	Jumping to Conclusions
Bill thinks that blondes are stupid and unemployable when interviewing someone for a job.	Jumping to Conclusions
Tom sent a text message to a friend to say hello, but he received no response. Tom concluded that his friend was upset with him.	Jumping to Conclusions
Abby decided not to pursue a promotion at work, despite encouragement from her supervisor, as she believed that other candidates would be more qualified.	Jumping to Conclusions
Sarah broke up with her boyfriend because she was afraid he would break up with her, even though he assured her otherwise.	Jumping to Conclusions
I'm afraid to fly, and I'm afraid this plane will crash any minute.	Jumping to Conclusions
Because I have a phobia of cats, I scream when I see a cat, and I think that cats are very vicious and dangerous.	Jumping to Conclusions
assuming that someone dislikes a particular hobby because people of their gender do not usually participate in it	Jumping to Conclusions
If I feel it it must be true	Emotional Reasoning
I feel guilty, so I must have done something bad	Emotional Reasoning
I’m feeling inadequate, so I must be worthless	Emotional Reasoning
I feel afraid, so I must be in a dangerous situation.	Emotional Reasoning
While driving home from work in rush hour traffic, Monica had a close call on the freeway. She felt nervous and her heart raced. Monica now no longer wants to drive on the freeway, believing that she will be at risk for getting into an accident.	Emotional Reasoning
Leon has never felt safe in planes. On his last business trip, he started to fear his upcoming flight several days in advance. Leon would look up information on the internet that would confirm his fear of flying, such as information on past issues with flights. On the day of his trip, Leon began shaking and sweating as he boarded the plane. At one point, the pilot warned that there was going to be some turbulence and requested passengers to put on their seatbelts. Leon told himself that “He knew the plane was going to crash.” Leon’s self-talk escalated as he had a panic attack.	Emotional Reasoning
Concluding that because you feel fat you must be fat even though you have a healthy BMI and know this.	Emotional Reasoning
Deciding that because you feel lonely you deduce that no one must love you and that you are unlovable.	Emotional Reasoning
You had a close call on your drive home and felt a spike in your heart rate and blood pressure. Because of this close call, you conclude that your usual route home is no longer safe and refuse to drive it again.	Emotional Reasoning
You feel lonely so you’re compelled to deduce that no one cares about you, that your feeling unequivocally confirms your unlovability.	Emotional Reasoning
You feel enraged with someone, so you take for granted that they must have done something bad, though you really can’t put your finger on anything specific and nothing about their behavior seems to provoke anyone else.	Emotional Reasoning
You feel stupid, so you’re convinced you must be dumb, regardless of the fact that your grades in school were as good as (or better than!) others and, as an adult, you’ve achieved at least as much as those around you.	Emotional Reasoning
Despite having in various ways demonstrated that you’re as worthwhile as anyone else, you remain convinced that you’re somehow worthless—for you can’t overcome core feelings of worthlessness.	Emotional Reasoning
In your relationship, you struggle mightily with feelings of jealousy. You can’t resist accusing your partner of infidelity, even though they’ve shown nothing but devotion to you and you have no plausible evidence that you've been betrayed.	Emotional Reasoning
You feel guilty about something, so you conclude you must be guilty.	Emotional Reasoning
You can’t help feeling fat, though your doctor and those around you tell you that your weight lies comfortably within the normal range.	Emotional Reasoning
It must be true if I feel it.	Emotional Reasoning
I feel bad, so I must have done something wrong.	Emotional Reasoning
Because I'm feeling inadequate, I must be worthless.	Emotional Reasoning
Since I feel inadequate, I must be worthless.	Emotional Reasoning
I'm afraid, so I'm in a dangerous situation.	Emotional Reasoning
I was scared, so I was in a dangerous situation.	Emotional Reasoning
Monica had a close call on the freeway while driving home from work during rush hour. Her heart was racing and she was nervous. Monica no longer wants to drive on the freeway because she is afraid of getting into an accident.	Emotional Reasoning
Monica had an accident on the freeway while driving home from work at rush hour. Her heart was racing and she was nervous. Monica no longer wanted to drive on the freeway because she was afraid of having an accident.	Emotional Reasoning
Leon has never felt secure in an airplane. Several days before his last business trip, he began to worry about his upcoming flight. Leon would search the internet for information that would confirm his fear of flying, such as information on previous flight problems. Leon began shaking and sweating as he boarded the plane on the day of his trip. At one point, the pilot warned passengers that there would be some turbulence and asked them to fasten their seatbelts. "He knew the plane was going to crash," Leon told himself. Leon's self-talk became more aggressive as he experienced a panic attack.	Emotional Reasoning
Leon never felt safe in an airplane. A few days before his last business trip, he started to worry about his upcoming flight. Leon searched the internet for information that would confirm his fear of flying, such as information about previous flight problems. Leon started shaking and sweating as he boarded the plane on the day of his trip. At one point, the pilot warned passengers that there would be turbulence and asked them to fasten their seatbelts. "He knew the plane was going to crash," Leon said to himself. Leon's self-talk became more aggressive as he experienced panic attacks.	Emotional Reasoning
Concluding that because you feel fat, you must be fat, despite having a healthy BMI and being aware of this.	Emotional Reasoning
Because you are lonely, you conclude that no one must love you and that you are unlovable.	Emotional Reasoning
I'm nervous, so I know something bad is going to happen.	Emotional Reasoning
I was nervous, so I knew something bad was going to happen.	Emotional Reasoning
I'm so depressed; this has to be the worst place to work.	Emotional Reasoning
I was very depressed; this must be the worst place to work.	Emotional Reasoning
I feel, therefore it is	Emotional Reasoning
You feel lonely so you’re compelled to deduce that no one cares about you, that your feeling unequivocally confirms your unlovability.	Emotional Reasoning
You feel so lonely that you are driven to conclude that no one cares about you, that your feelings unequivocally confirm that you are not liked.	Emotional Reasoning
You feel so lonely that you are driven to conclude that no one cares about you, that your feelings unequivocally confirm that you are not liked.	Emotional Reasoning
You are enraged with someone, so you assume they must have done something wrong, even though you can't pinpoint anything specific and nothing about their behavior appears to provoke anyone else.	Emotional Reasoning
You are angry with someone, so you assume that they must have done something wrong, even though you can't point to anything specific and none of their behavior seems to provoke others.	Emotional Reasoning
You feel stupid, so you're convinced you're stupid, despite the fact that your grades in school were on par with (or better than!) others' and that, as an adult, you've accomplished at least as much as those around you.	Emotional Reasoning
You feel stupid, so you are convinced that you are stupid, despite the fact that your grades at school are on par with (or better than!) others and that, as an adult, you have achieved at least as much as those around you.	Emotional Reasoning
Despite having demonstrated in various ways that you are as valuable as anyone else, you continue to believe that you are worthless—because you can't overcome core feelings of worthlessness.	Emotional Reasoning
Despite having demonstrated in various ways that you are as worthy as anyone else, you continue to believe that you are worthless-because you cannot overcome the core feeling of powerlessness.	Emotional Reasoning
You are battling feelings of jealousy in your relationship. You can't stop yourself from accusing your partner of infidelity, even though they've shown nothing but devotion to you and you have no credible evidence of betrayal.	Emotional Reasoning
You are battling feelings of jealousy in your relationship. You can't stop yourself from accusing your partner of having an affair, even though they have shown nothing but devotion to you and you have no credible evidence of betrayal.	Emotional Reasoning
You feel guilty about something, so you conclude you must be guilty—even though there is no evidence of wrongdoing and others have assured you of this.	Emotional Reasoning
You feel guilty about something, so you conclude that you must be guilty - even though there is no evidence of guilt and others have convinced you of this.	Emotional Reasoning
You can't help but feel fat, even though your doctor and others tell you that your weight is within the normal range. You are aware of this, and yet...	Emotional Reasoning
You feel fat, even though doctors and others tell you that your weight is within the normal range. You realize this, but...	Emotional Reasoning
You made me feel bad	Blaming
You make me feel bad about myself	Blaming
I hand in my portion of a project late and it was because of a mistake someone else made.	Blaming
I drink because of my ex-husband.	Blaming
I blame my spouse for forgetting to grab the gift as I am are headed to a birthday party.	Blaming
I blame myself when my child doesn’t do well on a test.	Blaming
You hurt my feelings.	Blaming
I turned in my portion of a project late due to an error made by someone else.	Blaming
I submitted my part of the project late due to mistakes made by others.	Blaming
Because of my ex-husband, I drank.	Blaming
I blame my spouse for forgetting to pick up the gift as I was leaving for a birthday party.	Blaming
I blamed my partner for forgetting to pick up a gift when I was going to a birthday party.	Blaming
When my child does poorly on a test, I blame myself.	Blaming
Eli was driving 10 miles over the speed limit when he was stopped by a police officer who had parked in an inconspicuous area near the road. Eli blamed the office for laying a trap for him.	Blaming
Eli was driving 10 miles over the speed limit when he was stopped by a police officer parked in a nondescript area near the road. Eli blamed the office for setting a trap for him.	Blaming
Leah submitted an assignment late. When her teacher refused to accept it, she accused him of being too strict.	Blaming
Leah turned in the assignment late. When her teacher refused to accept it, Leah accused her teacher of being too strict.	Blaming
Mary and her husband went on a weekend getaway. She remembered that they had scheduled a contractor to meet them at their house that day while they were away and blamed her husband for forgetting.	Blaming
Mary and her husband went on a weekend vacation. She remembered that they had scheduled a contractor to meet them at their house on the day they left and blamed her husband for forgetting.	Blaming
Hannah blamed herself for not knowing better when her classmates made fun of her new haircut.	Blaming
This is all my fault.	Blaming
This is entirely my fault.	Blaming
I'm to blame.	Blaming
If my partner would only start to change everything would be good between us!	Fallacy Of Change
Until they show me they love me I will never be worth anything.	Fallacy Of Change
I feel bad because my friends don’t contact me, they need to make more of an effort.	Fallacy Of Change
Maybe when the new boss starts I’m going to start getting some respect around here	Fallacy Of Change
If the social welfare gave me a job I’d be set up	Fallacy Of Change
If the economy was better I would be able to try	Fallacy Of Change
If a gym opened next door to my work I’d go	Fallacy Of Change
If the family wasn’t so secretive I’d be able to be more open.	Fallacy Of Change
Everything would be fine between us if my partner would just start changing!	Fallacy Of Change
Everything would be fine between us if my partner started to change!	Fallacy Of Change
I'll never be worth anything unless they show me they love me.	Fallacy Of Change
I will never be worth anything unless they show that they love me.	Fallacy Of Change
I'm sorry because my friends don't contact me; they should make more of an effort.	Fallacy Of Change
I apologize that my friends didn't reach out to me; they should have made more of an effort.	Fallacy Of Change
Maybe when the new boss comes on board, I'll start getting some respect around here.	Fallacy Of Change
Maybe when the new boss comes, I'll start earning respect here.	Fallacy Of Change
I'd be set up if social welfare gave me a job.	Fallacy Of Change
I will be ready if social welfare gives me a job.	Fallacy Of Change
If the economy improved, I might be able to try.	Fallacy Of Change
If the economy improves, I might be able to give it a try.	Fallacy Of Change
I'd go if a gym opened next to my workplace.	Fallacy Of Change
I would go if a gym opened next to my workplace.	Fallacy Of Change
I'd be able to be more open if my family wasn't so secretive.	Fallacy Of Change
I would be more open if my family wasn't so closed.	Fallacy Of Change
A boyfriend thinks his girlfriend is perfect in almost every way, but she can nag at times. He tries to persuade her to change because he believes that doing so will make him happy. As a result, both of them eventually become unhappy.	Fallacy Of Change
A boyfriend thinks that his girlfriend is perfect in almost every way, but sometimes she can be a nag. He tries to persuade her to change because he believes that doing so will make her happy. As a result, both end up being unhappy.	Fallacy Of Change
A girl who is drawn to "bad boys" It is not because she finds the boy physically appealing, though this may be true, but because she believes she can "fix" him and remake him in the image of her own desires or what she considers to be "good."	Fallacy Of Change
A girl who is attracted to a "bad boy" is not because she finds the boy physically attractive, although this may be true, but because she believes that she can "fix" the boy and remake him according to her own desires or what she considers "good".	Fallacy Of Change
A boss might become an ignorant jerk	Global Labelling
A coworker could become someone who slacks off and refuses to work	Global Labelling
Someone who cuts us off in traffic must be a complete waste of oxygen.	Global Labelling
During the first day of classes, a teacher was a bit late and one of the students already branded him as a “sloppy teacher”	Global Labelling
Failing after trying something new and making the conclusion that you will never be successful.	Global Labelling
Succeeding at something new and believing that you are a winner only to stumble or fail at your next new thing and labeling yourself a loser.	Global Labelling
A boss may become an ignorant jerk.	Global Labelling
A boss can be a jerk who doesn't know himself.	Global Labelling
A coworker may become someone who slacks off and refuses to work.	Global Labelling
A coworker can be someone who is lazy and refuses to work.	Global Labelling
Someone who cuts us off in traffic is obviously a total waste of oxygen.	Global Labelling
Someone cutting us off in a traffic jam is clearly wasting oxygen.	Global Labelling
A teacher arrived late on the first day of classes, and one of the students immediately labeled him a "sloppy teacher."	Global Labelling
A teacher arrived late on the first day of class, and one of the students immediately labeled her a "sloppy teacher."	Global Labelling
Failing after attempting something new and concluding that you will never be successful.	Global Labelling
Failing after trying something new and concluding that you will never succeed.	Global Labelling
Succeeding at something new and believing yourself to be a winner, only to stumble or fail at your next new endeavor and label yourself a loser.	Global Labelling
Succeed at something new and believe yourself to be a winner, only to stumble or fail at your next new venture and label yourself a loser.	Global Labelling
He is a jerk if he responds in a brusque manner.	Global Labelling
He's a jerk if he responds in a rude way.	Global Labelling
My supermarket sells spoiled food at exorbitant prices.	Global Labelling
Someone who refused to give me a ride home is a jerk.	Global Labelling
Someone who refuses to give me a ride home is a jerk.	Global Labelling
A quiet man on a date is labeled as boring.	Global Labelling
Men who are quiet on dates are labeled as boring.	Global Labelling
Our boss is a spineless moron.	Global Labelling
Because of how my sister turned out, I've concluded that I'm a bad sister.	Global Labelling
Because of how my younger sister changed, I concluded that I was a bad sister.	Global Labelling
I am a loser	Global Labelling
I am unlovable	Global Labelling
I should have arrived to the meeting earlier	Shoulds
I must lose weight to be more attractive.	Shoulds
He should have called me earlier	Shoulds
She ought to thank me for all the help I’ve given her.	Shoulds
I must get over this fear.	Shoulds
I should be able to do this without any fear.	Shoulds
I am an adult for goodness sake. I ought to be comfortable on a plane!	Shoulds
I ought to be more in control of my fears.	Shoulds
I should have been less nervous.	Shoulds
I must get over all of my fear and anxiety without any help or medication.	Shoulds
I must lose weight to look better	Shoulds
I ought to call the plumber	Shoulds
I should call my family more	Shoulds
He should’ve called me back	Shoulds
I have to call a plumber	Shoulds
I need to lose weight to look better	Shoulds
I have to overcome all my fears and anxiety without any help or medication.	Shoulds
I need to lose weight to look better	Shoulds
I shouldn't have been so nervous.	Shoulds
I need to be more in control of my fears.	Shoulds
For God's sake, I'm an adult. I should be comfortable on a plane!	Shoulds
I should be able to do this without fear.	Shoulds
I should be able to do this without fear.	Shoulds
He should be grateful for all the help I've given him.	Shoulds
I should have come to the meeting earlier	Shoulds
I should visit the gym four times per week.	Shoulds
I have to visit the gym four times per week.	Shoulds
I should always eat healthily.	Shoulds
I have to be on time for that meeting.	Shoulds
I should be flawless.	Shoulds
I have to be perfect.	Shoulds
I need to make everyone like me.	Shoulds
I have to make everyone like me.	Shoulds
He should always keep his word.	Shoulds
He must always keep his word.	Shoulds
I should do more exercise and eat healthier.	Shoulds
I need to exercise more and eat healthier.	Shoulds
I should have gotten over these feelings by now.	Shoulds
I should have forgotten this feeling by now.	Shoulds
I need to lose weight in order for people to like me.	Shoulds
I have to lose weight for people to like me.	Shoulds
I need to get a better job.	Shoulds
I have to get a better job.	Shoulds
A best friend would never forget to return my call.	Shoulds
A best friend will never forget to return my call.	Shoulds
I should be happy	Shoulds
I must be happy	Shoulds
I should avoid eating chocolate.	Shoulds
I have to avoid eating chocolate.	Shoulds
A friend or family member who normally responds to me does not respond in the way I expect, so they may be occupied.	No
Next day is monday.	No
Sometimes things go wrong but is not the end of the world.	No
I've been having bad luck lately. 	No
I just failed that math test, I need to study more and better.	No
My manager pointed out some improvments I could do, so I am really happy.	No
My husband says he wishes I was better at houskeeping. I am mad but I at the same time I thinks that maybe it could be true.	No
I think that my presentation was really good even though that a few students left before I finished.	No
I refuse to let other's people action affcte my mood.	No
I dont care if people like me or not.	No
I'm having a tough time doing things but it will change.	No
The world is a terrible place but we can improve it.	No
I had a good day, even though the restaurant messed up my order, it was a smal mistake.	No
I don't like to overthink about the test, what is done is done.	No
Even though my partner is not perfect, I still care about her.	No
I feel really good when people compliment me.	No
I should be aware of my mistakes but I also shouldn't forget about my accomplishments.	No
My last interview was horrible but I'm sure the next one will be better.	No
If I fail my final, I can just do it again next semester.	No
I must recover as fast as possible fllowing the doctor's instructions.	No
If my partner leaves me, I'll respect that because it's her decision.	No
I did not get hired, but I just need to keep looking.	No
I'm nervous for the class presentation but I know that the more I do it the better I'll be.	No
I'm anxious and panic a lot when I get injections, but I just need to stay calm.	No
The end of a relationship just means that the person wasnt right one.	No
If my child dies bad things is beacuse I need to educate them better.	No
I failed at doing my project but the next one will be better.	No
I'm struggling to take my kids at school on time so I need to organize better.	No
Even thought i go to the therapy, I still can't feel better, maybe I should talk ith my therapist about this.	No
I'm struggling to be fluent in japanese, but I just need to work even harder.	No
I answered one question wrong so I have to review my notes.	No
I didn't get my promotion so I must look for another job or ask my manager for feedback.	No
I really wish my husband helped a little more at home.	No
I understand that he likes hanging out ith his friends and coworkers after work, but i jsut wished he spent time with me too. 	No
I wished I had a better desk.	No
I like debating and sharing my point of view.	No
I understand your point of view but I disagree.	No
I feel bad about my stuttering, so I am going to work with a coach to improve that.	No
The recessions means that we have to be careful and save as much money as possible.	No
The men who robbed me made me more cautious.	No
I did what I could.	No
I overslept, so now I'll just put 10 more alarms.	No
My daugther has bad grades so I must help her.	No
My coworker is upset about not getting the project, so I should ask my superior if he could work with me.	No
I love dogs but some of them are really loud and agressive.	No
My last date didn't go well so Im looking forward for the next date.	No
I'm afraid to hear his answer, but I'm still going to ask anyway.	No
I'm probably going to fail this exam  but I'm still going to do my best and study hard.	No
I feel like he is avoiding me but maybe he is just busy.	No
My boss didn't smile while greeting me, maybe she had a bad day.	No
I'm very irresponsible for now, but I will change.	No
My friend hasn't answered yet, he must be busy. 	No
I'm afraid to fly, so I'm going to listen to music and sleep while in th eplane to relax myself.	No
